鹄,2告鸟,
鹅,2我鸟,
鹈,2弟鸟,
鹁,2孛鸟,
鹆,2谷鸟,
鹃,2肙鸟,
鹀,2巫乌,
鸾,2亦鸟,
鸼,2舟鸟,
鸺,2休鸟,
鸽,2合鸟,
鸿,3氵工鸟,
鸻,2行鸟,
鸹,2舌鸟,
鸸,2而鸟,
莺,3艹冖鸟,
鸭,2甲鸟,
鸯,2央鸟,
鸪,2古鸟,
鴠,2旦鳥,
鸱,2氐鸟,
鸮,2号鸟,
鸲,2句鸟,
鸳,2夗鸟,
鸵,2鸟它,
鸰,2令鸟,
鴏,2鳥代,
鸥,2区鸟,
鸦,2牙鸟,
鸨,3匕十鸟,2?鸟,
鸩,2冘鸟,
鸢,2弋鸟,
鸣,2口鸟,
鸤,2尸鸟,
凤,2几又,
鳭,2刀鳥,
鳪,2卜鳥,
鸠,2九鸟,
凫,5勹丶丨?几,
鸟,4勹丶?一,
鲡,2鱼丽,
鲈,2鱼卢,
鳠,2鱼蒦,
鲚,2鱼齐,
鲿,2鱼尝,
鳢,2鱼豊,
鳡,2鱼感,
鳣,2鱼亶,
鲙,2鱼会,
鲎,3小冖鱼,5丶丶丶冖鱼,
鲼,2鱼贲,
鲟,2鱼寻,
鳞,2鱼粦,
鳜,2鱼厥,
鳝,2鱼善,
鳟,2鱼尊,
鳖,2鱼敝,
鳕,2鱼雪,
鳙,2鱼庸,
鳉,4鱼丬夕寸,
鳔,2鱼票,
鳛,2鱼習,
鳗,2鱼曼,
鲣,2鱼坚,
鲦,2鱼条,
鳘,2敏鱼,
鳓,2鱼勒,
鳌,2敖鱼,
鲢,2鱼连,
鳍,2鱼耆,
鳐,3鱼爫缶,
鳎,3鱼日羽,
鳏,2鱼眔,
鲥,2鱼时,
鳋,2鱼蚤,
鳑,2鱼旁,
鳒,2鱼兼,
鳁,2鱼昷,
鳃,2鱼思,
鳆,2鱼复,
鳄,2鱼咢,
诃,2讠可,
鳅,2鱼秋,
鳇,2鱼皇,
鲽,2鱼枼,
鳂,2鱼畏,
诠,2讠全,
觧,2角羊,
蠋,2虫蜀,
鲫,2鱼即,
鳀,2鱼是,
鲹,2鱼参,
鲺,2鱼虱,
鲶,2鱼念,
鲰,2鱼取,
鲮,2鱼夌,
鲸,2鱼京,
鲳,2鱼昌,
鲲,2鱼昆,
鲵,2鱼兒,
鲱,2鱼非,
鲴,2鱼固,
鲷,2鱼周,
鲭,2鱼青,
鲯,2鱼其,
鲻,2鱼甾,
鲬,2鱼甬,
鲨,2沙鱼,
鲤,2鱼里,
鲩,2鱼完,
鲠,2鱼更,
鲧,2鱼系,
鲝,2羊鱼,
鲪,2鱼君,
鲓,2鱼考,
街,2行圭,3行土土,
鲑,2鱼圭,
鲛,2鱼交,
鲔,2鱼有,
鲖,2鱼同,
鲕,2鱼而,
鲞,3丷夫鱼,2?鱼,
鲘,2鱼后,
鲒,2鱼吉,
鲊,2鱼乍,
鲋,2鱼付,
鲍,2鱼包,
鲐,2鱼台,
鲇,2鱼占,
鲏,2鱼皮,
鲉,2鱼由,
鲌,2鱼白,
鲆,2鱼平,
鲅,2鱼犮,
鲄,2鱼可,
鱿,2鱼尤,
鲂,2鱼方,
鲁,2鱼日,
鲀,2鱼屯,
鱾,2鱼己,
诰,2讠告,
鱼,3刀田一,
魙,2鬼漸,
魇,2厌鬼,
魖,2鬼虛,
魔,2麻鬼,
魒,2鬼票,
魑,2鬼离,
魐,2鬼兼,
魏,2委鬼,
魉,2鬼两,
魍,2鬼罔,
魌,2鬼其,
魋,2鬼隹,
魊,2鬼或,
魈,2鬼肖,
魆,2鬼戉,
魅,2鬼未,
魄,2白鬼,
魃,2鬼犮,
魂,2云鬼,
魁,2鬼斗,
魀,2鬼介,
鬿,2鬼斤,
鬾,2鬼支,
鬽,2鬼彡,
鬼,4丶田儿厶,
鬻,2粥鬲,
鬺,4鬲丿一昜,
鬶,2规鬲,
鬸,2鬲留,
鬷,4鬲凶八夂,
鬵,3旡旡鬲,
鬴,2鬲甫,
鬳,2虍鬲,
鬲,5一口冂丫一,
鬰,4棥冖鬯彡,
鬯,7凵乂丶丶丶丶匕,
阄,2门龟,
鬫,2鬥敢,
阋,2门兒,
鬤,2髟襄,
鬣,2髟巤,
鬓,2髟宾,
鬟,2髟睘,
鬛,10髟囗乂?丶丶?丶丶乀,
鬙,2髟曾,
鬘,2髟曼,
鬖,2髟參,
鬕,2髟莫,
鬔,2髟逢,
鬒,2髟真,
鬑,2髟廉,
鬐,2髟耆,
鬏,2髟秋,
鬎,2髟剌,
鬌,3髟左月,
